DestinationMacAddr,SourceMacAddr,SourceIPAddr,DestinationIPAddr,SourcePort,DestinationPort

1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,2a1:111:f10:700:00:00:6fdd:54a1,60636,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,2a1:111:f10:700:00:00:6fdd:54a1,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,60636
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,2a1:111:f10:700:00:00:6fdd:54a1,60636,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,260:1417:073:1b6:00:00:00:0b,62071,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,260:1417:073:1b6:00:00:00:0b,62071,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,260:1417:073:1b6:00:00:00:0b,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62071
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,260:1417:073:1b6:00:00:00:0b,62071,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,260:1417:073:1b6:00:00:00:0b,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62071
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.212.240.37,61002,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.212.240.37,192.168.43.33,443,61002
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,260:1417:073:1b6:00:00:00:0b,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62071
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,260:1417:073:1b6:00:00:00:0b,62071,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,59152,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,59152
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,111.221.29.254,62084,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,111.221.29.254,192.168.43.33,443,62084
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.201.124.9,61617,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,74.125.24.189,192.168.43.33,443,61958
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.201.124.9,192.168.43.33,443,61617
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,74.125.24.189,61958,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.201.124.9,192.168.43.33,443,61617
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.201.124.9,61617,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,35.201.124.9,192.168.43.33,443,61617
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.201.124.9,61617,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.114.24.24,62074,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.114.24.24,192.168.43.33,443,62074
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,52.114.40.0,62067,443
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,52.114.40.0,192.168.43.33,443,62067
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,266:280:147:12f:3c:1ba0:fc6:265a,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,443,62083
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,249:4043:581:e2b4:9caf:ec2a:45c:6c1c,266:280:147:12f:3c:1ba0:fc6:265a,62083,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,50078,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,63769,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,60158,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,65291,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,,,50078,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,,,63769,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,,,60158,53
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,,,65291,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,,,53,63769
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,63769
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,,,53,50078
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,35.163.13.50,62086,443
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,57607,53
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,50078
d8:9c:67:d5:f3:19,1a:19:d6:e:2a:3e,192.168.43.1,192.168.43.33,53,57607
1a:19:d6:e:2a:3e,d8:9c:67:d5:f3:19,192.168.43.33,192.168.43.1,57938,53
